
【고지명】

*지명*     한자      지명     한자   
거창*     居昌*     거타      居陁      경상
거창*     居昌*     아림      娥林      경상
거창*     居昌*     제창      濟昌      경상
거칠산    居漆山    동래*     東萊*     경상
거타      居陁      거창*     居昌*     경상
거타      居陁      진주*     晉州*     경상
견성      堅城      포천*     抱川*     경기
견성      甄城      전주*     全州*     전라
견주      見州      양주*     楊州*     경기
결기      結己      결성*     結城*     충청
결성      潔城      결성*     結城*     충청
결성*     結城*     결기      結己      충청
결성*     結城*     결성      潔城      충청
경덕      景德      운봉*     雲峯*     전라
경산      京山      성주*     星州*     경상
경산*     慶山*     압독      押督      경상
경산*     慶山*     압량      押梁      경상
경산*     慶山*     옥산      玉山      경상
경산*     慶山*     장산      獐山      경상
경산*     慶山*     장산      章山      경상
경성*     鏡城*     목랑고    木郞古    함경
경성*     鏡城*     우롱이    于籠耳    함경
경성*     鏡城*     치성      雉城      함경
경양      景陽      금산*     錦山*     전라
경원      慶源      인천*     仁川*     경기
경원*     慶源*     공주      孔州      함경
경원*     慶源*     광주      匡州      함경
경원*     慶源*     추성      楸城      함경
경주*     慶州*     계림      鷄林      경상
경주*     慶州*     금오      金鰲      경상
경주*     慶州*     낙랑      樂浪      경상
경주*     慶州*     동경      東京      경상
경주*     慶州*     문천      蚊川      경상
경주*     慶州*     사로      斯盧      경상
경주*     慶州*     서야벌    徐耶伐    경상
경주*     慶州*     신라      新羅      경상
경주*     慶州*     월성      月城      경상
경주*     慶州*     진한      辰韓      경상
경흥      慶興      강릉*     江陵*     강원
경흥*     慶興*     공성      孔城      함경
경흥*     慶興*     광성      匡城      함경
계림      鷄林      경주*     慶州*     경상
계발      戒發      부안*     扶安*     전라
계산      稽山      영동*     永同*     충청
계주      稽州      영동*     永同      충청
고곡      古谷      곡산*     谷山*     황해
고덕진    古德鎭    가산*     嘉山*     평안
고동람    古冬攬    함창*     咸昌*     경상
고량부리  古良夫里  청양*     靑陽*     충청
고령      古寧      안동*     安東*     경상
고령      古寧      함창*     咸昌*     경상
고령      固寧      황주*     黃州*     황해
고령*     高靈*     고양      高陽      경상
고령*     高靈*     대가야    大伽倻    경상
고령*     高靈*     영천      靈川      경상
고룡      古龍      남원*     南原*     전라
고릉      古陵      함창*     咸昌*     경상
고림      高林      교동*     喬桐*     경기
고목근    高木根    교동*     喬桐*     경기
고봉      高峯      고양*     高陽*     경기
고부*     古阜*     고사부리  古沙夫里  전라
고부*     古阜*     안남      安南      전라
고부*     古阜*     영주      瀛州      전라
고사갈이성高思曷伊城문경*     聞慶*     경상
고사마    古斯馬    봉화*     奉化*     경상
고사부리  古沙夫里  고부*     古阜*     전라
고산      孤山      예산*     禮山*     충청
고산*     高山*     난등량    難等良    전라
고산*     高山*     봉산      鳳山      전라
고성*     固城*     고자      古自      경상
고성*     固城*     고주      固州      경상
고성*     固城*     철성      鐵城      경상
고성*     高城*     달홀      達忽      강원
고성*     高城*     풍암      豊巖      강원
고시산    古尸山    옥천*     沃川*     충청
고시이    古尸伊    장성*     長城*     전라
고양      高陽      고령*     高靈*     경상
고양      高陽      흥양*     興陽*     전라
고양*     高陽*     개백      皆伯      경기
고양*     高陽*     고봉      高峯      경기
고양*     高陽*     달을성    達乙省    경기
고양*     高陽*     덕양      德陽      경기
고양*     高陽*     왕봉      王逢      경기
고양*     高陽*     우왕      遇王      경기
고양*     高陽*     행주      幸州      경기
고우이    古于伊    울진*     蔚珍*     강원
고울      高鬱      영천*     永川*     경상
고원*     高原*     고주      高州      함경
고원*     高原*     덕령      德寧      함경
고원*     高原*     홍원      洪源      함경
고이      高伊      흥양*     興陽*     전라
고자      古自      고성*     固城*     경상
고장      古藏      안동*     安東*     경상
고주      固州      고성*     固城*     경상
고주      高州      고원*     高原*     함경
고죽      孤竹      해주*     海州*     황해
고창      古昌      안동*     安東*     경상
고청성    古靑城    영변*     寧邊*     평안
고타야    古陀耶    안동*     安東*     경상
고택      高澤      장수*     長水*     전라
고흥      高興      흥양*     興陽*     전라
곡강      曲江      흥해*     興海*     경상
곡산*     谷山*     고곡      古谷      황해
곡산*     谷山*     덕돈홀    德頓忽    황해
곡산*     谷山*     상산      象山      황해
곡산*     谷山*     십곡성    十谷城    황해
곡산*     谷山*     진서      鎭瑞      황해
곡성      曲城      파주*     坡州*     경기
곡성*     谷城*     욕내      欲乃      전라
곡성*     谷城*     욕천      浴川      전라
곡양      穀壤      금천*     衿川*     경기
곤남      昆南      곤양*     昆陽*     경상
곤명      昆明      곤양*     昆陽*     경상
곤산      昆山      곤양*     昆陽*     경상
곤양*     昆陽*     곤남      昆南      경상
곤양*     昆陽*     곤명      昆明      경상
곤양*     昆陽*     곤산      昆山      경상
곤양*     昆陽*     철성      鐵城      경상
골내근    骨乃斤    여주*     驪州*     경기
골포      骨浦      창원*     昌原*     경상
공목달    工木達    연천*     漣川*     경기
공성      功成      연천*     漣川*     경기
공성      孔城      경흥*     慶興*     함경
공암      孔巖      양천*     陽川*     경기
공주      孔州      경원*     慶源*     함경
공주*     公州*     안절군    安節軍    충청
공주*     公州*     웅주      熊州      충청
공주*     公州*     웅진      熊津      충청
공주*     公州*     웅천      熊川      충청
공주*     公州*     회도      懷道      충청
공화      恭化      울산*     蔚山*     경상
과주      果州      과천*     果川*     경기
과지      果支      옥과*     玉果*     전라
과천*     果川*     과주      果州      경기
과천*     果川*     동사힐    冬斯肹    경기
과천*     果川*     부림      富林      경기
과천*     果川*     부안      富安      경기
과천*     果川*     율목      栗木      경기
과천*     果川*     율진      栗津      경기
과포      戈浦      남양*     南陽*     경기
곽산*     郭山*     곽주      郭州      평안
곽산*     郭山*     장리      長利      평안
곽산*     郭山*     정양      定襄      평안
곽주      郭州      곽산*     郭山*     평안
관문      冠文      문경*     聞慶*     경상
관산      冠山      문경*     聞慶*     경상
관산      冠山      장흥*     長興*     전라
관성      管城      옥천*     沃川*     충청
관성      觀城      이성*     利城*     함경
관현      冠縣      문경*     聞慶*     경상
광릉      廣陵      한성*     漢城*     서울
광산*     光山*     광주      光州      전라
광산*     光山*     무주      武州      전라
광산*     光山*     무진      武珍      전라
광산*     光山*     무진      茂珍      전라
광산*     光山*     서석      瑞石      전라
광산*     光山*     익양      翼陽      전라
광산*     光山*     익주      翼州      전라
광산*     光山*     해양      海陽      전라
광산*     光山*     화평      化平      전라
광성      匡城      경흥*     慶興*     함경
광양*     光陽*     마로      馬老      전라
광양*     光陽*     희양      晞陽      전라
광주      光州      광산*     光山*     전라
광주      匡州      경원*     慶源*     함경
광주*     廣州*     남한산    南漢山    경기
광주*     廣州*     한산주    漢山州    경기
광주*     廣州*     한주      漢州      경기
광주*     廣州*     회안      淮安      경기
광평      廣平      성주*     星州*     경상
광평      廣平      평강*     平康*     강원
광해      光海      춘천*     春川*     강원
광화      光化      태천*     泰川*     평안
괴산*     槐山*     괴양      槐壤      충청
괴산*     槐山*     괴주      槐州      충청
괴산*     槐山*     시안      始安      충청
괴산*     槐山*     잉근내    仍斤內    충청
괴양      槐壤      괴산*     槐山*     충청
괴주      槐州      괴산*     槐山*     충청
교동*     喬桐*     고림      高林      경기
교동*     喬桐*     고목근    高木根    경기
교동*     喬桐*     대운      戴雲      경기
교주      交州      회양*     淮陽*     강원
교하*     交河*     굴화      屈火      경기
교하*     交河*     선성      宣城      경기
교하*     交河*     원정      原井      경기
교하*     交河*     천정구    泉井口    경기
구례*     求禮*     구차례    仇次禮    전라
구례*     求禮*     봉성      鳳城      전라
구사진혜  丘斯珍兮  진원*     珍原*     전라
구산      龜山      의흥*     義興*     경상
구성      駒城      용인*     龍仁*     경기
구성      龜城      단성*     丹城*     경상
구성      龜城      동복*     同福*     전라
구성      龜城      영천*     榮川*     경상
구성      龜城      의흥*     義興*     경상
구성      龜城      지례*     知禮*     경상
구성      龜城      칠원*     漆原*     경상
구성*     龜城*     구주      龜州      평안
구성*     龜城*     만년      萬年      평안
구을      仇乙      풍천*     豊川*     황해
구주      龜州      구성*     龜城*     평안
구지      仇知      전의*     全義*     충청
구지지산  仇知只山  금구*     金溝*     전라
구진      丘珍      진원*     珍原*     전라
구차례    仇次禮    구례*     求禮*     전라
구택      구택      배천*     白川*     황해
국원      國原      충주*     忠州*     충청
군악      軍岳      용강*     龍岡*     평안
군위*     軍威*     노동멱    奴同覓    경상
군위*     軍威*     적라      赤羅      경상
굴내      屈乃      함평*     咸平*     전라
굴산      屈山      청산*     靑山*     충청
굴아화    屈阿火    울산*     蔚山*     경상
굴압      屈押      강음*     江陰*     황해
굴자      屈自      창원*     昌原*     경상
굴지      屈支      창평*     昌平*     전라
굴직      屈直      신창*     新昌*     충청
굴천      屈遷      풍천*     豊川*     황해
굴화      屈火      교하*     交河*     경기
궁악      窮岳      안협*     安峽*     강원
궁한촌    弓漢村    길성*     吉城*     함경
궐구      闕口      문화*     文化*     황해
궐성      闕城      단성*     丹城*     경상
궐지      闕支      단성*     丹城*     경상
귀덕군    歸德軍    상주*     尙州*     경상
귀화      歸化      밀양*     密陽*     경상
규양      桂陽      부평*     富平*     경기
근오지    斤烏支    영일*     迎日*     경상
근을어    斤乙於    평해*     平海*     강원
근평      斤平      가평*     加平*     경기
금계      錦溪      금산*     錦山*     전라
금과      衿果      금천*     衿川*     경기
금관      金官      김해*     金海*     경상
금구*     金溝*     구지지산  仇知只山  전라
금구*     金溝*     봉산      鳳山      전라
금녕      金寧      김해*     金海*     경상
금뇌      金惱      통천*     通川*     강원
금능      金陵      김포*     金浦*     경기
금달      今達      상원*     祥原*     평안
금라      金羅      함안*     咸安*     경상
금란      金蘭      통천*     通川*     강원
금릉      金陵      강진*     康津*     전라
금릉      金陵      금산*     金山*     경상
금마      金馬      익산*     益山*     전라
금무      今武      덕산*     德山*     충청
금물      今勿      덕산*     德山*     충청
금물노    今勿奴    진천*     鎭川*     충청
금산      錦山      나주*     羅州*     전라
금산*     金山*     금릉      金陵      경상
금산*     錦山*     경양      景陽      전라
금산*     錦山*     금계      錦溪      전라
금산*     錦山*     금주      錦州      전라
금산*     錦山*     진내      進乃      전라
금산*     錦山*     진례      進禮      전라
금성      錦城      나주*     羅州*     전라
금성*     金城*     금양      金壤      강원
금성*     金城*     도령      道寧      강원
금성*     金城*     모성      母城      강원
금성*     金城*     야차홀    也次忽    강원
금성*     金城*     익성      益城      강원
금양      衿陽      금천*     衿川*     경기
금양      金壤      금성*     金城*     강원
금양      金壤      통천*     通川*     강원
금오      金鰲      경주*     慶州*     경상
금주      黔州      금천*     衿川*     경기
금주      今州      대흥*     大興*     충청
금주      金州      김해*     金海*     경상
금주      錦州      금산*     錦山*     전라
금지      金池      전의*     全義*     충청
금천*     衿川*     곡양      穀壤      경기
금천*     衿川*     금과      衿果      경기
금천*     衿川*     금양      衿陽      경기
금천*     衿川*     금주      黔州      경기
금천*     衿川*     시흥      始興      경기
금천*     衿川*     잉벌노    仍伐奴    경기
금포      黔浦      김포*     金浦*     경기
금화*     金化*     부여      夫如      강원
금화*     金化*     부평      富平      강원
금화*     金化*     화산      花山      강원
기        基        서산*     瑞山*     충청
기량      祁梁      신창*     新昌*     충청
기립      鬐立      장기*     長鬐*     경상
기목      基木      풍기*     豊基*     경상
기산      岐山      삼가*     三嘉*     경상
기산      耆山      청산*     靑山*     충청
기성      岐城      거제*     巨濟*     경상
기성      杞城      진잠*     鎭岑*     충청
기성      箕城      평양*     平壤*     평안
기성      箕城      평해*     平海*     강원
기성      箕城      함평*     咸平*     전라
기양      基陽      예천*     醴泉*     경상
기양      祈陽      창평*     昌平*     전라
기장*     機張*     갑화양곡  甲火良谷  경상
기장*     機張*     차성      車城      경상
기주      基州      풍기*     豊基*     경상
기천      基川      풍기*     豊基*     경상
길동      吉同      영동*     永同*     충청
길성*     吉城*     궁한촌    弓漢村    함경
길성*     吉城*     길주      吉州      함경
길성*     吉城*     삼해양    三海洋    함경
길성*     吉城*     웅성      雄城      함경
길성*     吉城*     해양      海洋      함경
길주      吉州      길성*     吉城*     함경
길주      吉州      부평*     富平*     경기
길주      吉州      안동*     安東*     경상
김제*     金堤*     벽골      碧骨      전라
김포*     金浦*     금능      金陵      경기
김포*     金浦*     금포      黔浦      경기
김해*     金海*     가락      駕洛      경상
김해*     金海*     가야      伽倻      경상
김해*     金海*     금관      金官      경상
김해*     金海*     금녕      金寧      경상
김해*     金海*     금주      金州      경상
김해*     金海*     분성      盆城      경상
김해*     金海*     임해      臨海      경상
나복      蘿葍      동복*     同福*     전라
나주*     羅州*     금산      錦山      전라
나주*     羅州*     금성      錦城      전라
나주*     羅州*     발라      發羅      전라
나주*     羅州*     진해군    鎭海軍    전라
나주*     羅州*     통의      通義      전라
낙랑      樂浪      경주*     慶州*     경상
낙랑      樂浪      평양*     平壤*     평안
낙안*     樂安*     낙천      洛川      전라
낙안*     樂安*     부차      浮槎      전라
낙안*     樂安*     분령      分嶺      전라
낙안*     樂安*     분사      分沙      전라
낙안*     樂安*     분차      分嵯      전라
낙안*     樂安*     양악      陽岳      전라
낙천      洛川      낙안*     樂安*     전라
난등량    難等良    고산*     高山*     전라
난진아    難珍阿    진안*     鎭安*     전라
남경      南京      한성*     漢城*     서울
남내      南內      안음*     安陰*     경상
남매      南買      이천*     利川*     경기
남부여    南扶餘    부여*     扶餘*     충청
남양      南陽      서천*     舒川*     충청
남양*     南陽*     강령      江寧      경기
남양*     南陽*     과포      戈浦      경기
남양*     南陽*     당성      唐城      경기
남양*     南陽*     당은      唐恩      경기
남양*     南陽*     영제      寧堤      경기
남양*     南陽*     익주      益州      경기
남원*     南原*     고룡      古龍      전라
남원*     南原*     대방      帶方      전라
남원*     南原*     용성      龍城      전라
남천      南川      이천*     利川*     경기
남평*     南平*     미동부리  未冬夫里  전라
남평*     南平*     영평      永平      전라
남평*     南平*     오산      烏山      전라
남평*     南平*     현웅      玄雄      전라
남평양    南平壤    한성*     漢城*     서울
남포*     藍浦*     마산      馬山      충청
남포*     藍浦*     사포      寺浦      충청
남한산    南漢山    광주*     廣州*     경기
남해*     南海*     윤산      輪山      경상
남해*     南海*     전산      轉山      경상
남해*     南海*     전야산    轉也山    경상
남해*     南海*     해양      海陽      경상
남해*     南海*     화전      花田      경상
낭비성    娘臂城    청주*     淸州*     충청
낭산      朗山      여산*     礪山*     전라
낭산      朗山      영암*     靈巖*     전라
낭성      琅城      청주*     淸州*     충청
낭주      浪州      부안*     扶安*     전라
낭주      朗州      영암*     靈巖*     전라
낭천*     狼川*     생천      狌川      강원
낭천*     狼川*     야시매    也尸買    강원
내령      奈靈      영천*     榮川*     경상
내미홀    內米忽    해주*     海州*     황해
내산      萊山      동래*     東萊*     경상
내생      奈生      영월*     寧越*     강원
내성      奈城      영월*     寧越*     강원
내소      來蘇      양주*     楊州*     경기
내이      奈已      영천*     榮川*     경상
내제      奈堤      제천*     堤川*     충청
내토      奈吐      제천*     堤川*     충청
내혜홀    奈兮忽    안성*     安城*     경기
노동멱    奴同覓    군위*     軍威*     경상
노산      魯山      이산*     尼山*     충청
노산      魯山      평창*     平昌*     강원
노음죽    奴音竹    음죽*     陰竹*     경기
녹효      綠驍      홍천*     洪川*     강원
농서      농서      서흥*     瑞興*     황해
능라      綾羅      안동*     安東*     경상
능성      能成      삼등*     三登*     평안
능성*     綾城*     연주      連珠      전라
능성*     綾城*     이릉      尒陵      전라
능성*     綾城*     죽수      竹樹      전라
다기      多岐      함평*     咸平*     전라
다물      多勿      성천*     成川*     평안
다보      多甫      이성*     利城*     함경
다온평    多溫平    온성*     穩城*     함경
다지홀    多知忽    평산*     平山*     황해
단계      丹溪      단성*     丹城*     경상
단산      丹山      단양*     丹陽*     충청
단성*     丹城*     강성      江城      경상
단성*     丹城*     구성      龜城      경상
단성*     丹城*     궐성      闕城      경상
단성*     丹城*     궐지      闕支      경상
단성*     丹城*     단계      丹溪      경상
단성*     丹城*     단읍      丹邑      경상
단성*     丹城*     적촌      赤村      경상
단성*     丹城*     진성      珍城      경상
단양      丹陽      영해*     寧海*     경상
단양*     丹陽*     단산      丹山      충청
단양*     丹陽*     적산      赤山      충청
단양*     丹陽*     적성      赤城      충청
단읍      丹邑      단성*     丹城*     경상
단주      湍州      장단*     長湍*     경기
단주      端州      단천*     端川*     함경
단천      丹川      무주*     茂朱*     전라
단천*     端川*     단주      端州      함경
단천*     端川*     독노올    禿魯兀    함경
단천*     端川*     복주      福州      함경
단천*     端川*     오림금촌  吳林金村  함경
단천*     端川*     증산      甑山      함경
달구화    達句火    대구*     大丘*     경상
달성      達城      대구*     大丘*     경상
달을성    達乙省    고양*     高陽*     경기
달홀      達忽      고성*     高城*     강원
담양*     潭陽*     담주      潭州      전라
담양*     潭陽*     추성      秋成      전라
담양*     潭陽*     추자혜    秋子兮    전라
담주      潭州      담양*     潭陽*     전라
담주      覃州      신계*     新溪*     황해
당문      唐文      영흥*     永興*     함경
당성      唐城      남양*     南陽*     경기
당악      唐岳      중화*     中和*     평안
당은      唐恩      남양*     南陽*     경기
당진*     唐津*     벌수지    伐首只    충청
당진*     唐津*     부지      夫只      충청
대가야    大伽倻    고령*     高靈*     경상
대곡      大谷      평산*     平山*     황해
대구*     大丘*     달구화    達句火    경상
대구*     大丘*     달성      達城      경상
대량      大良      합천*     陜川*     경상
대령      大寧      해주*     海州*     황해
대록      大麓      목천*     木川*     충청
대룡      大龍      황주*     黃州*     황해
대목악    大木岳    목천*     木川*     충청
대방      帶方      남원*     南原*     전라
대산      大山      홍산*     鴻山*     충청
대성      大城      청도*     淸道*     경상
대시산    大尸山    태인*     泰仁*     전라
대야      大耶      합천*     陜川*     경상
대운      戴雲      교동*     喬桐*     경기
대원      大原      충주*     忠州*     충청
대주      岱州      성주*     星州*     경상
대홀      大忽      황주*     黃州*     황해
대흥*     大興*     금주      今州      충청
대흥*     大興*     임성      任城      충청
대흥*     大興*     임존성    任存城    충청
덕근      德近      은진*     恩津*     충청
덕녕      德寧      양양*     襄陽*     강원
덕돈홀    德頓忽    곡산*     谷山*     황해
덕령      德寧      고원*     高原*     함경
덕맹      德孟      맹산*     孟山*     평안
덕산*     德山*     금무      今武      충청
덕산*     德山*     금물      今勿      충청
덕산*     德山*     덕풍      德豊      충청
덕산*     德山*     마시산    馬尸山    충청
덕산*     德山*     이산      伊山      충청
덕성      德城      청하*     淸河*     경상
덕양      德陽      고양*     高陽*     경기
덕원      德原      영해*     寧海*     경상
덕원*     德源*     덕주      德州      함경
덕원*     德源*     동모      東牟      함경
덕원*     德源*     오을매    於乙買    함경
덕원*     德源*     용주      湧州      함경
덕원*     德源*     의성      宜城      함경
덕원*     德源*     의주      宜州      함경
덕원*     德源*     의천      宜川      함경
덕원*     德源*     의춘      宜春      함경
덕원*     德源*     정천      井泉      함경
덕원*     德源*     천정      泉井      함경
덕원*     德源*     춘성      春城      함경
덕은      德恩      은진*     恩津*     충청
덕은      德殷      은진*     恩津*     충청
덕주      德州      덕원*     德源*     함경
덕주      德州      덕천*     德川*     평안
덕창      德昌      박천*     博川*     평안
덕천*     德川*     덕주      德州      평안
덕천*     德川*     요원      遼原      평안
덕천*     德川*     장덕      長德      평안
덕풍      德豊      덕산*     德山*     충청
도강      道康      강진*     康津*     전라
도내산    道乃山    용안*     龍安*     전라
도랍      刀臘      배천*     白川*     황해
도령      道寧      금성*     金城*     강원
도무      道武      강진*     康津*     전라
도서      道西      청안*     淸安*     충청
도서      都西      청안*     淸安*     충청
도솔      兜率      천안*     天安*     충청
도실      道實      순창*     淳昌*     전라
도안      道安      청안*     淸安*     충청
도원      桃源      정선*     旌善*     강원
도원경    桃源京    강릉*     江陵*     강원
도을한    都乙漢    위원*     渭原*     평안
도주      道州      청도*     淸道*     경상
독노올    禿魯兀    단천*     端川*     함경
돌산      堗山      청산*     靑山*     충청
동경      東京      경주*     慶州*     경상
동래*     東萊*     거칠산    居漆山    경상
동래*     東萊*     내산      萊山      경상
동래*     東萊*     봉래      蓬萊      경상
동래*     東萊*     봉산      蓬山      경상
동래*     東萊*     장산      萇山      경상
동량      㠉梁      삭녕*     朔寧*     경기
동모      東牟      덕원*     德源*     함경
동복*     同福*     구성      龜城      전라
동복*     同福*     나복      蘿葍      전라
동복*     同福*     두부지    豆夫只    전라
동복*     同福*     복천      福川      전라
동복*     同福*     옹성      瓮城      전라
동비홀    冬比忽    개성*     開城*     경기
동사힐    冬斯肹    과천*     果川*     경기
동산      銅山      철산*     鐵山*     평안
동성      東城      사천*     泗川*     경상
동양      東陽      양덕*     陽德*     평안
동양      東陽      평산*     平山*     황해
동영주    東瀛州    제주*     濟州*     전라
동온      東溫      강릉*     江陵*     강원
동울      冬鬱      황주*     黃州*     황해
동원      東原      강릉*     江陵*     강원
동음      冬音      강진*     康津*     전라
동음      洞陰      영평*     永平*     경기
동음홀    冬音忽    연안*     延安*     황해
동주      東州      철원*     鐵原*     강원
동주      洞州      서흥*     瑞興*     황해
동창      同昌      은산*     殷山*     평안
동홀      冬忽      황주*     黃州*     황해
두내산    豆乃山    만경*     萬頃*     전라
두릉윤성  豆陵尹城  정산*     定山*     충청
두부지    豆夫只    동복*     同福*     전라
두산      杜山      만경*     萬頃*     전라
두잉지    豆仍只    연기*     燕岐*     충청
등주      登州      안변*     安邊*     함경
마경이    麻耕伊    송화*     松禾*     황해
마로      馬老      광양*     光陽*     전라
마리      馬利      안음*     安陰*     경상
마산      馬山      남포*     藍浦*     충청
마산      馬山      면천*     沔川*     충청
마산      馬山      한산*     韓山*     충청
마서량    馬西良    옥구*     沃溝*     전라
마시산    馬尸山    덕산*     德山*     충청
마악      馬岳      청도*     淸道*     경상
마읍      馬邑      한산*     韓山*     충청
마장      麻杖      삼가*     三嘉*     경상
마전*     麻田*     마전천    麻田淺    경기
마전*     麻田*     이사파홀  泥沙波忽  경기
마전*     麻田*     임단      臨湍      경기
마전천    麻田淺    마전*     麻田*     경기
마홀      馬忽      포천*     抱川*     경기
만경*     萬頃*     두내산    豆乃山    전라
만경*     萬頃*     두산      杜山      전라
만년      萬年      구성*     龜城*     평안
만노      萬弩      진천*     鎭川*     충청
매곡      昧谷      회인*     懷仁*     충청
매곡      買谷      예안*     禮安*     경상
매성      妹城      문천*     文川*     함경
매성      買省      양주*     楊州*     경기
매소홀    買召忽    인천*     仁川*     경기
매홀      買忽      수원*     水原*     경기
맹산*     孟山*     덕맹      德孟      평안
맹산*     孟山*     맹주      孟州      평안
맹산*     孟山*     철옹      鐵瓮      평안
맹주      孟州      맹산*     孟山*     평안
면주      沔州      면천*     沔川*     충청
면주      綿州      무안*     務安*     전라
면천*     沔川*     마산      馬山      충청
면천*     沔川*     면주      沔州      충청
면천*     沔川*     해종      海宗      충청
면천*     沔川*     혜        槥        충청
면천*     沔川*     혜성      槥城      충청
멸오      滅烏      용인*     龍仁*     경기
명양      鳴陽      창평*     昌平*     전라
명원      明原      명천*     明川*     함경
명원      溟源      강릉*     江陵*     강원
명주      溟州      강릉*     江陵*     강원
명지      命旨      포천*     抱川*     경기
명천*     明川*     명원      明原      함경
명평      鳴平      창평*     昌平*     전라
모성      母城      금성*     金城*     강원
모양      牟陽      함평*     咸平*     전라
모평      牟平      함평*     咸平*     전라
목랑고    木郞古    경성*     鏡城*     함경
목주      木州      목천*     木川*     충청
목천*     木川*     대록      大麓      충청
